"date","session_time","stationID","number_of_users","average_power_usage"
4458905-11-15,"1627862400","2-39-81-4550",1,21.7802538787024
4459063-07-30,"1627920000","2-39-79-383",1,5.8880664652568
4459063-07-30,"1627920000","2-39-81-4550",1,25.1932101093927
4459369-02-15,"1628031600","2-39-129-17",1,6.20598146588037
4459398-09-11,"1628042400","2-39-139-28",1,3.33643516934656
4459645-02-08,"1628132400","2-39-81-4550",1,30.7507647487254
4459881-08-30,"1628218800","2-39-139-28",1,0.480152067162997
4460098-07-03,"1628298000","2-39-81-4550",1,20.4109143130684
4460108-05-12,"1628301600","2-39-81-4550",1,32.3415313225058
4460266-01-24,"1628359200","2-39-81-4550",1,29.6466060929984
4460798-04-25,"1628553600","2-39-81-4550",1,40.713149408814
4460808-03-03,"1628557200","2-39-81-4550",1,28.7095374071959
4461054-08-01,"1628647200","2-39-139-28",1,3.31685393258427
4461064-06-09,"1628650800","2-39-81-4550",1,32.1592705167173
4461172-11-10,"1628690400","2-39-139-28",1,0.675975845410628
4461261-07-26,"1628722800","2-39-139-28",1,1.36189876760563
4461685-05-24,"1628877600","2-39-139-28",1,1.50692344421455
4461961-05-18,"1628978400","2-39-81-4550",1,15.1054852320675
4461981-02-02,"1628985600","2-39-81-4550",1,25.8728834355828
4462257-01-26,"1629086400","2-39-81-4550",1,38.162976573266
4462700-08-12,"1629248400","2-39-128-18",1,0.175941243092975
4462947-01-09,"1629338400","2-39-81-4550",1,37.4082352941177
4463558-02-15,"1629561600","2-39-81-4550",1,29.229246344207
4463607-05-29,"1629579600","2-39-81-4550",1,31.6730769230769
4463666-07-18,"1629601200","2-39-81-4550",1,5.3453428863869
4463814-05-24,"1629655200","2-39-81-4550",1,45.0591259640103
4464277-08-24,"1629824400","2-39-129-17",1,1.03425414364641
4464750-10-04,"1629997200","2-39-81-4550",1,34.1767352800383
4464790-03-08,"1630011600","2-39-81-4550",1,35.7014925373134
4464809-11-23,"1630018800","2-39-81-4550",1,22.425520110957
4465016-11-18,"1630094400","2-39-81-4550",1,38.7671938212578
4465076-01-08,"1630116000","2-39-81-4550",1,31.9112989757763
4465085-11-16,"1630119600","2-39-81-4550",1,20.4761329305136
4465095-09-25,"1630123200","2-39-81-4550",1,41.3302220549492
4465519-07-25,"1630278000","2-39-139-28",1,3.50098008220044
4465696-12-22,"1630342800","2-39-78-363",1,0.69507406131588
4465746-04-05,"1630360800","2-39-81-4550",1,46.0630997583707
4466722-01-19,"1630717200","2-39-81-4550",1,33.0554989075018
4466731-11-28,"1630720800","2-39-81-4550",1,44.1331928345627
4466889-08-10,"1630778400","2-39-81-4550",1,17.4708644981736
4467126-03-02,"1630864800","2-39-81-4550",1,36.8819722650231
4468101-12-15,"1631221200","2-39-139-28",1,6.56996805111821
4468161-02-03,"1631242800","2-39-81-4550",1,26.3827563683867
4468308-12-10,"1631296800","2-39-79-381",1,2.24767184035477
4468318-10-19,"1631300400","2-39-81-4550",1,36.9059101654846
4468358-03-23,"1631314800","2-39-81-4550",1,39.80395256917
4468387-10-17,"1631325600","2-39-81-4550",1,13.2923076923077
4468397-08-25,"1631329200","2-39-81-4550",1,29.9763676148796
4468841-03-10,"1631491200","2-39-81-4550",1,33.3381393083293
